topic,question
Power & Influence,Do you speak up when you witness injustice — and if not what stops you?
Power & Influence,What's a time when you had power over a situation and wish you had used it differently?
Power & Influence,Whose voice in your head influences your decisions most — and should it?
Power & Influence,What's the most important way you could use your specific position in the world to make something better?
Power & Influence,When did someone's words change the direction of your life?
Language & Communication,What's something you find almost impossible to put into words but try to anyway?
Language & Communication,When did saying the wrong thing teach you something important about how words work?
Language & Communication,What's a conversation you'd love to have but don't know how to begin?
Language & Communication,What language other than your own do you find most beautiful — and why?
Language & Communication,Is there something you communicate better through actions than through words?
Language & Communication,What's a word in any language that captures something your native tongue can't?
Language & Communication,When did someone listen to you in a way that felt transformative?
Language & Communication,What's the most important thing you've learned about how to communicate better?
Language & Communication,Is there something you say regularly that doesn't match what you actually mean?
Language & Communication,What would you say to the person you love most if you knew they would hear exactly what you intended?
Friendship,What makes a friendship last decades while others fade in months?
Friendship,Who is the truest friend you've ever had and what made them that?
Friendship,What do you bring to friendships that you rarely get acknowledged for?
Friendship,Is there a friendship you've let drift that you miss more than you admit?
Friendship,What's the most important thing a friend ever did for you when you needed it most?
Friendship,What's something you need from your friends that you've never directly asked for?
Friendship,What does it mean to you to be a good friend — not in theory but in practice?
Friendship,When did a friendship end — formally or quietly — and what did you learn from how it ended?
Friendship,What's the funniest shared memory you have with your closest friend?
Friendship,What's a truth your best friend could tell you that almost no one else could?
Joy & Play,What's something you do purely for the joy of it that has no productivity attached?
Joy & Play,When did you last play — genuinely play — without it being competitive or goal-oriented?
Joy & Play,What's the most fun you've had doing something completely ordinary?
Joy & Play,What's a silly thing that fills you with an unreasonable amount of delight?
Joy & Play,What activity makes you forget you're an adult?
